Zone,Valeur
Afrique du Sud,2081.7
Albanie,3773.1
Algérie,2453
Allemagne,1378.8
Argentine,1231.5
Arménie,3872.3
Autriche,3226.3
Azerbaïdjan,2023.5
Belgique,1430.7
Bosnie-Herzégovine,949.9
Brunéi Darussalam,3380.5
Cabo Verde,5045.8
Chine,1952.2
"Chine, continentale",1952.2
Chypre,2973
Danemark,1341.8
Égypte,1455.3
El Salvador,2816
Espagne,1367.9
Estonie,1553.8
Fédération de Russie,1557.2
Fidji,5748.8
Finlande,1555.3
France,1777.9
Géorgie,1763.9
Grèce,1865.8
Grenade,4592.9
Islande,3342.6
Kazakhstan,1259.1
Lettonie,2067.8
Liban,1658.4
Luxembourg,5500.1
Macédoine du Nord,950.6
Malaisie,2218
Malte,1414.8
Maurice,2024.7
Mexique,1668
Népal,2133.4
Norvège,2455.6
Palestine,3466.4
Qatar,5494.5
Roumanie,1862.2
Rwanda,2514.4
Sainte-Lucie,4318.5
Sri Lanka,2551.1
Suriname,3819.1
Uruguay,1334.4
Viet Nam,4270.1
Yémen,5244.2
Zambie,2595.7
